YEAR,Score,Title
2021,No Score Yet,Armageddon Time
2020,No Score Yet,The War with Grandpa
2020,9%,Artemis Fowl
2019,96%,The Irishman
2019,68%,Joker
2019,No Score Yet,The Irishman' in Conversation
2018,60%,Bohemian Rhapsody
2018,No Score Yet,Porndemic
2017,75%,The Wizard of Lies
2017,24%,The Comedian
2017,No Score Yet,The Words That Built America
2017,No Score Yet,One Night Only: Alec Baldwin
2016,45%,Hands of Stone
2016,No Score Yet,I Am JFK Jr.
2016,11%,Dirty Grandpa
2016,No Score Yet,The Godfather Epic
2015,60%,Joy
2015,29%,Heist
2015,60%,The Intern
2015,68%,The Man Who Saved the World
2015,No Score Yet,Ellis
2015,No Score Yet,The Audition
2015,No Score Yet,The Good House
2014,No Score Yet,"Remembering The Artist Robert De Niro, Sr."
2014,11%,The Bag Man
2014,No Score Yet,Candy Store
2014,No Score Yet,Spy's Kid
2013,31%,Grudge Match
2013,46%,Last Vegas
2013,94%,Casting By
2013,29%,The Family
2013,10%,Killing Season
2013,7%,The Big Wedding
2013,No Score Yet,Trespassing Bergman
2013,50%,The Comedian
2012,92%,Silver Linings Playbook
2012,No Score Yet,Freelancers
2012,30%,Red Lights
2012,51%,Being Flynn
2012,No Score Yet,Born To Race
2012,No Score Yet,Lombardi
2011,92%,Corman's World: Exploits Of A Hollywood Rebel
2011,7%,New Year's Eve
2011,27%,Killer Elite
2011,69%,Limitless
2011,No Score Yet,The Ages of Love
2010,9%,Little Fockers
2010,50%,Stone
2010,72%,Machete
2010,No Score Yet,Sesame Street: 40 Years of Sunny Days
2009,47%,Everybody's Fine
2009,80%,I Knew It Was You: Rediscovering John Cazale
2008,18%,Righteous Kill
2008,80%,Mr. Warmth: The Don Rickles Project
2008,50%,What Just Happened?
2007,76%,Stardust
2007,22%,Arthur and the Invisibles (Arthur and the Minimoys)
2007,No Score Yet,Le Cirque: A Table in Heaven
2006,55%,The Good Shepherd
2006,No Score Yet,Tony Bennett: An American Classic
2005,46%,Rent
2005,4%,The Bridge of San Luis Rey
2005,13%,Hide and Seek
2004,39%,Meet the Fockers
2004,64%,Stage Beauty
2004,36%,Shark Tale
2004,No Score Yet,Biography
2003,4%,Godsend
2002,27%,Analyze That
2002,48%,City by the Sea
2002,93%,About a Boy
2002,25%,Showtime
2002,No Score Yet,9/11
2001,No Score Yet,America: A Tribute to Heroes
2001,73%,The Score
2001,No Score Yet,Prison Song
2001,32%,15 Minutes
2000,No Score Yet,Holiday Heart
2000,42%,Men of Honor
2000,84%,Meet the Parents
2000,43%,The Adventures of Rocky & Bullwinkle
1999,41%,Flawless
1999,40%,Entropy
1999,69%,Analyze This
1998,No Score Yet,Lenny Bruce: Swear to Tell the Truth
1998,67%,Ronin
1998,37%,Great Expectations
1997,85%,Wag the Dog
1997,87%,Jackie Brown
1997,75%,Cop Land
1996,84%,Marvin's Room
1996,73%,Sleepers
1996,37%,The Fan
1996,7%,Faithful
1995,87%,Heat
1995,80%,Casino
1995,No Score Yet,One Hundred and One Nights
1994,38%,Mary Shelley's Frankenstein
1993,77%,Mad Dog and Glory
1993,97%,A Bronx Tale
1993,76%,This Boy's Life
1992,57%,Night and the City
1992,89%,Thunderheart
1992,No Score Yet,Stella Adler: Awake and Dream!
1991,74%,Cape Fear
1991,72%,Mistress
1991,74%,Backdraft
1991,65%,Guilty by Suspicion
1990,69%,"The Godfather, Part III"
1990,88%,Awakenings
1990,96%,GoodFellas
1990,33%,Stanley & Iris
1990,No Score Yet,Hollywood Mavericks
1989,47%,We're No Angels
1989,64%,Jacknife
1988,94%,Midnight Run
1987,82%,The Untouchables
1987,79%,Angel Heart
1987,100%,Dear America: Letters Home from Vietnam
1986,64%,The Mission
1985,98%,Brazil
1985,No Score Yet,Saturday Night Live - The Best of Jon Lovitz
1984,58%,Falling in Love
1984,86%,Once Upon a Time in America
1983,89%,The King of Comedy
1981,71%,True Confessions
1980,93%,Raging Bull
1979,No Score Yet,The Swap
1978,93%,The Deer Hunter
1977,No Score Yet,Bertolucci secondo il cinema (The Cinema According to Bertolucci)
1977,58%,1900 (Novecento)
1977,63%,"New York, New York"
1976,43%,The Last Tycoon
1976,96%,Taxi Driver
1976,No Score Yet,America at the Movies
1974,98%,"The Godfather, Part II"
1973,92%,Bang The Drum Slowly
1973,95%,Mean Streets
1972,No Score Yet,Jennifer on My Mind
1971,0%,The Gang That Couldn't Shoot Straight
1971,29%,Born to Win
1970,17%,Bloody Mama
1970,73%,"Hi, Mom!"
1969,No Score Yet,Sam's Song
1969,No Score Yet,The Wedding Party
1968,88%,Greetings